NAICS Code,NAICS Description
333315,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING
325992,"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING"
326111,PLASTICS BAG MANUFACTURING
325211,PLASTICS MATERIAL AND RESIN MANUFACTURING
326122,PLASTICS PIPE AND PIPE FITTING MANUFACTURING
332313,PLATE WORK MANUFACTURING
332913,PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING
238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS"
922120,POLICE PROTECTION
325612,POLISH AND OTHER SANITATION GOOD MANUFACTURING
488310,PORT AND HARBOR OPERATIONS
523920,PORTFOLIO MANAGEMENT
491110,POSTAL SERVICE
311615,POULTRY PROCESSING
238110,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS
332117,POWDER METALLURGY PART MANUFACTURING
237130,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION
332410,POWER BOILER AND HEAT EXCHANGER MANUFACTURING
335311,"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING"
332721,PRECISION TURNED PRODUCT MANUFACTURING
332311,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING
321992,PREFABRICATED WOOD BUILDING MANUFACTURING
335912,PRIMARY BATTERY MANUFACTURING
334418,PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING
325910,PRINTING INK MANUFACTURING
333244,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING
333293,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING
561431,PRIVATE MAIL CENTERS
541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES"
611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING
561330,PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES)
813920,PROFESSIONAL ORGANIZATIONS
711320,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES"
541820,PUBLIC RELATIONS AGENCIES
333911,PUMP AND PUMPING EQUIPMENT MANUFACTURING
334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING
515111,RADIO NETWORKS
336510,RAILROAD ROLLING STOCK MANUFACTURING
441210,RECREATIONAL VEHICLE DEALERS
493120,REFRIGERATED WAREHOUSING AND STORAGE
926130,"REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES"
524130,REINSURANCE CARRIERS
335314,RELAY AND INDUSTRIAL CONTROL MANUFACTURING
562910,REMEDIATION SERVICES
541711,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY
541714,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)
541713,RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY
541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)"
541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)"
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES
623210,RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES
623220,RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES
531311,RESIDENTIAL PROPERTY MANAGERS
236118,RESIDENTIAL REMODELERS
311212,RICE MILLING
311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING
333519,ROLLING MILL AND OTHER METALWORKING MACHINERY MANUFACTURING
238160,ROOFING CONTRACTORS
423330,"ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS"
721310,"ROOMING AND BOARDING HOUSES, DORMITORIES, AND WORKERS' CAMPS"
326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING
326291,RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE
721211,RV (RECREATIONAL VEHICLE) PARKS AND CAMPGROUNDS
322291,SANITARY PAPER PRODUCT MANUFACTURING
517410,SATELLITE TELECOMMUNICATIONS
522120,SAVINGS INSTITUTIONS
332216,SAW BLADE AND HANDTOOL MANUFACTURING
333997,"SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)"
481112,SCHEDULED FREIGHT AIR TRANSPORTATION
481111,SCHEDULED PASSENGER AIR TRANSPORTATION
485410,SCHOOL AND EMPLOYEE BUS TRANSPORTATION
311710,SEAFOOD PRODUCT PREPARATION AND PACKAGING
334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING"
331314,SECONDARY SMELTING AND ALLOYING OF ALUMINUM
331492,"SECONDARY SMELTING, REFINING, AND ALLOYING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM)"
523210,SECURITIES AND COMMODITY EXCHANGES
561612,SECURITY GUARDS AND PATROL SERVICES
561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)
334413,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING
333242,SEMICONDUCTOR MACHINERY MANUFACTURING
562991,SEPTIC TANK AND RELATED SERVICES
423850,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS
624120,SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES
221320,SEWAGE TREATMENT FACILITIES
332322,SHEET METAL WORK MANUFACTURING
336611,SHIP BUILDING AND REPAIRING
448210,SHOE STORES
337215,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING"
238910,SITE PREPARATION CONTRACTORS
332992,SMALL ARMS AMMUNITION MANUFACTURING
332994,"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING"
325611,SOAP AND OTHER DETERGENT MANUFACTURING
334614,"SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING"
511210,SOFTWARE PUBLISHERS
115112,"SOIL PREPARATION, PLANTING, AND CULTIVATING"
221114,SOLAR ELECTRIC POWER GENERATION
562111,SOLID WASTE COLLECTION
562213,SOLID WASTE COMBUSTORS AND INCINERATORS
562212,SOLID WASTE LANDFILL
311224,SOYBEAN AND OTHER OILSEED PROCESSING
927110,SPACE RESEARCH AND TECHNOLOGY
333514,"SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING"
485991,SPECIAL NEEDS TRANSPORTATION
484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL"
484230,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LONG-DISTANCE"
622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
311422,SPECIALTY CANNING
333612,"SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING"
339920,SPORTING AND ATHLETIC GOODS MANUFACTURING
711211,SPORTS TEAMS AND CLUBS
322230,STATIONERY PRODUCT MANUFACTURING
221330,STEAM AND AIR-CONDITIONING SUPPLY
331513,STEEL FOUNDRIES (EXCEPT INVESTMENT)
331222,STEEL WIRE DRAWING
335911,STORAGE BATTERY MANUFACTURING
238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS
115210,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION
115310,SUPPORT ACTIVITIES FOR FORESTRY
213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION
339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING
339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING
541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES
335313,SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING
325212,SYNTHETIC RUBBER MANUFACTURING
517911,TELECOMMUNICATIONS RESELLERS
517310,TELECOMMUNICATIONS RESELLERS
561422,TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS
561421,TELEPHONE ANSWERING SERVICES
334210,TELEPHONE APPARATUS MANUFACTURING
512191,TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES
515120,TELEVISION BROADCASTING
561320,TEMPORARY HELP SERVICES
624221,TEMPORARY SHELTERS
541380,TESTING LABORATORIES
313310,TEXTILE AND FABRIC FINISHING MILLS
314910,TEXTILE BAG AND CANVAS MILLS
524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS
238340,TILE AND TERRAZZO CONTRACTORS
326211,TIRE MANUFACTURING (EXCEPT RETREADING)
541191,TITLE ABSTRACT AND SETTLEMENT OFFICES
311830,TORTILLA MANUFACTURING
334514,TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING
561520,TOUR OPERATORS
423860,TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS
561510,TRAVEL AGENCIES
336214,TRAVEL TRAILER AND CAMPER MANUFACTURING
111335,TREE NUT FARMING
336212,TRUCK TRAILER MANUFACTURING
532120,"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING"
523991,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
333611,TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING
326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING
326121,UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING
337121,UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING
326150,URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING
484210,USED HOUSEHOLD AND OFFICE GOODS MOVING
541940,VETERINARY SERVICES
624310,VOCATIONAL REHABILITATION SERVICES
813212,VOLUNTARY HEALTH ORGANIZATIONS
237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION
221310,WATER SUPPLY AND IRRIGATION SYSTEMS
333992,WELDING AND SOLDERING EQUIPMENT MANUFACTURING
311221,WET CORN MILLING
425120,WHOLESALE TRADE AGENTS AND BROKERS
517110,WIRED TELECOMMUNICATIONS CARRIERS
517311,WIRED TELECOMMUNICATIONS CARRIERS
517312,WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE)
315240,"WOMEN'S, GIRLS', AND INFANTS' CUT AND SEW APPAREL MANUFACTURING"
321920,WOOD CONTAINER AND PALLET MANUFACTURING
337211,WOOD OFFICE FURNITURE MANUFACTURING
