LOCID,LAT,LON,STATE_CODE,ZIPCODE,DIST,FUND_TYPE,NAICS_CODE,RECIPIENT,ACTION_DATE,START_DATE,END_DATE,PERMALINK,FED_ATION_OBL,CURRENT_TOTAL_VALUE,SUBAGENCY,DESCRIPTION
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,SPRINGER NATURE CUSTOMER SERVICE CENTER LLC,9/8/23,12/22/22,12/31/24,https://www.usaspending.gov/award/CONT_AWD_89243123PSC000249_8900_-NONE-_-NONE-/,193562.12,380309.38,Department of Energy,PERIODICAL PUBLISHERS
"Lexington-Fayette, KY Metro Area",38.102876,-84.438545,SD,40513,10.86,contract,,GENERAL DYNAMICS ONE SOURCE LLC,9/8/23,7/12/23,10/10/23,https://www.usaspending.gov/award/CONT_AWD_89303123FEM400286_8900_NNG15SC35B_8000/,0.0,95700.0,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Idaho Falls, ID Metro Area",43.620423,-112.420919,SD,83402,13.64,contract,,INDEPENDENT STRATEGIC MANAGEMENT SOLUTIONS INC,9/8/23,10/1/19,9/30/23,https://www.usaspending.gov/award/CONT_AWD_89243219FNE400039_8900_DENE0008516_8900/,0.0,827899.2,Department of Energy,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
"Pittsburgh, PA Metro Area",40.439525,-79.836097,SD,15122,6.25,contract,,"FLUOR MARINE PROPULSION, LLC",9/8/23,7/12/18,9/30/28,https://www.usaspending.gov/award/CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-/,0.0,18500250000.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)"
"Albuquerque, NM Metro Area",35.123496,-106.458392,SD,87116,7.77,contract,,PROJECT ENHANCEMENT CORPORATION,9/8/23,9/1/20,8/31/24,https://www.usaspending.gov/award/CONT_AWD_89233120FNA400303_8900_GS00F0004T_4730/,0.0,8584203.9,Department of Energy,ENVIRONMENTAL CONSULTING SERVICES
"Idaho Falls, ID Metro Area",43.620423,-112.420919,SD,83402,13.64,contract,,IDAHO ENVIRONMENTAL COALITION LLC,9/8/23,10/1/23,9/30/31,https://www.usaspending.gov/award/CONT_AWD_89304223FEM400000_8900_89303321DEM000061_8900/,0.0,58229219.0,Department of Energy,REMEDIATION SERVICES
"Trenton-Princeton, NJ Metro Area",40.282503,-74.703724,SD,18947,23.91,contract,,"TYNDALE ENTERPRISES, INC.",9/7/23,9/27/23,9/26/24,https://www.usaspending.gov/award/CONT_AWD_89603023P0035_8960_-NONE-_-NONE-/,33233.76,33233.76,Federal Energy Regulatory Commission,OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS
"Athens-Clarke County, GA Metro Area",33.943984,-83.213897,SD,30677,14.38,contract,,"AMERICAN MATERIAL HANDLING, INC.",9/7/23,9/7/23,4/4/24,https://www.usaspending.gov/award/CONT_AWD_89503123FWA400534_8900_47QMCA18D000G_4732/,84161.0,84161.0,Department of Energy,CONSTRUCTION MACHINERY MANUFACTURING
"Denver-Aurora-Lakewood, CO Metro Area",39.434789,-104.901073,SD,80228,23.09,contract,,DYNAMIC SYSTEMS INC,9/7/23,9/5/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89503023FWA400805_8900_NNG15SC09B_8000/,0.0,23259.84,Department of Energy,ELECTRONIC COMPUTER MANUFACTURING
"Albuquerque, NM Metro Area",35.123496,-106.458392,SD,87110,6.86,contract,,SIGMA SCIENCE INC,9/7/23,11/3/22,2/2/24,https://www.usaspending.gov/award/CONT_AWD_89243223FNE400092_8900_89243222DNE000002_8900/,50000.0,125120.0,Department of Energy,ENGINEERING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22182,14.95,contract,,COHNREZNICK LLP,9/7/23,5/22/23,5/21/25,https://www.usaspending.gov/award/CONT_AWD_89303323FEM000029_8900_89303022AMA000041_8900/,200000.0,951493.6,Department of Energy,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS
"Phoenix-Mesa-Chandler, AZ Metro Area",33.185765,-112.067862,SD,85009,18.18,contract,,ALLIED WASTE TRANSPORTATION INC,9/7/23,6/29/18,9/22/23,https://www.usaspending.gov/award/CONT_AWD_89503118PWA000082_8900_-NONE-_-NONE-/,0.0,329260.93,Department of Energy,HAZARDOUS WASTE TREATMENT AND DISPOSAL
"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.166342,-80.797285,SD,29730,22.79,contract,,"CATAWBA-TEA, LLC",9/7/23,4/6/23,4/5/24,https://www.usaspending.gov/award/CONT_AWD_89303323FEM400345_8900_89303323DEM000087_8900/,300000.0,1302166.59,Department of Energy,REMEDIATION SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22102,17.42,contract,,"ADVANCED COMPUTER CONCEPTS, INC.",9/7/23,9/6/23,12/29/23,https://www.usaspending.gov/award/CONT_AWD_89503223FWA400408_8900_NNG15SD60B_8000/,0.0,118371.14,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Baltimore-Columbia-Towson, MD Metro Area",39.304361,-76.549501,SD,20706,28.42,contract,,FREDRICK OAK CONSULTING LLC,9/7/23,9/7/23,9/9/24,https://www.usaspending.gov/award/CONT_AWD_89303023CHC000019_8900_-NONE-_-NONE-/,266094.0,1390842.85,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22202,23.84,contract,,"TECHNOMICS, INC.",9/7/23,4/27/18,4/26/23,https://www.usaspending.gov/award/CONT_AWD_89233118FNA400047_8900_GS00F103DA_4732/,-94214.82,14691163.23,Department of Energy,ENGINEERING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20110,3.6,contract,,DIDLAKE INC,9/7/23,5/11/21,5/11/24,https://www.usaspending.gov/award/CONT_AWD_89303021CMA000062_8900_-NONE-_-NONE-/,3996188.05,16053363.71,Department of Energy,JANITORIAL SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,ISOTEK SYSTEMS LLC,9/7/23,10/9/03,12/31/24,https://www.usaspending.gov/award/CONT_AWD_DEAC0504OR22860_8900_-NONE-_-NONE-/,4858368.82,944163812.0,Department of Energy,ALL OTHER SUPPORT SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,COHNREZNICK LLP,9/7/23,11/7/22,10/31/23,https://www.usaspending.gov/award/CONT_AWD_89303923FEM000200_8900_89303022AMA000041_8900/,0.0,201356.4,Department of Energy,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20148,13.72,contract,,THE BUILDING PEOPLE LLC,9/7/23,9/7/23,2/9/24,https://www.usaspending.gov/award/CONT_AWD_89243423FEE400349_8900_89243423DEE000007_8900/,2500.0,2500.0,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Birmingham-Hoover, AL Metro Area",33.402599,-86.729515,SD,35203,9.24,contract,,BASIC TECHNOLOGIES INC,9/7/23,9/7/23,11/21/23,https://www.usaspending.gov/award/CONT_AWD_89503423PWA001687_8900_-NONE-_-NONE-/,103432.0,103432.0,Department of Energy,HARDWARE MANUFACTURING
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,COHNREZNICK LLP,9/7/23,6/7/23,10/5/23,https://www.usaspending.gov/award/CONT_AWD_89303923FEM000227_8900_89303022AMA000041_8900/,0.0,45473.8,Department of Energy,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS
"Denver-Aurora-Lakewood, CO Metro Area",39.434789,-104.901073,SD,80401,26.51,contract,,"ICF INCORPORATED, L.L.C.",9/7/23,8/16/22,8/21/24,https://www.usaspending.gov/award/CONT_AWD_89243422FEE400293_8900_GS00Q14OADU119_4732/,19995.58,2169623.35,Department of Energy,ENGINEERING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22042,16.47,contract,,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",9/7/23,8/19/20,1/21/24,https://www.usaspending.gov/award/CONT_AWD_89303020FCF000013_8900_89303020ACF000009_8900/,1090279.28,16529274.17,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22314,23.24,contract,,BGRS RELOCATION INC.,9/7/23,7/6/17,8/19/22,https://www.usaspending.gov/award/CONT_AWD_DEBP0005789_8900_DEAB0108CF50005_8900/,-11325.38,68526.62,Department of Energy,OFFICES OF REAL ESTATE AGENTS AND BROKERS
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.096664,-93.275361,SD,55126,6.66,contract,,TSI INCORPORATED,9/7/23,9/7/23,10/7/23,https://www.usaspending.gov/award/CONT_AWD_89243323PFE000664_8900_-NONE-_-NONE-/,14064.54,14064.54,Department of Energy,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95630,11.41,contract,,GENCO SYSTEMS INC,9/7/23,10/1/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89503323PWA000287_8900_-NONE-_-NONE-/,395400.0,395400.0,Department of Energy,ENGINEERING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20004,25.71,contract,,"CQ-ROLL CALL, INC.",9/7/23,9/3/20,9/28/24,https://www.usaspending.gov/award/CONT_AWD_89243420PEE000037_8900_-NONE-_-NONE-/,37229.0,142536.0,Department of Energy,PERIODICAL PUBLISHERS
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20874,25.16,contract,,ARCHETYPE I LLC,9/7/23,12/30/21,12/29/23,https://www.usaspending.gov/award/CONT_AWD_89243122FSC400373_8900_47QRAD20D1186_4732/,130865.0,4228542.69,Department of Energy,ENGINEERING SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,CDW GOVERNMENT LLC,9/7/23,9/7/23,12/31/23,https://www.usaspending.gov/award/CONT_AWD_89243123FSC400586_8900_NNG15SC28B_8000/,76960.0,76960.0,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Morgantown, WV Metro Area",39.525155,-79.801912,SD,26505,11.69,contract,,FOUR LLC,9/7/23,9/27/23,9/26/24,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400515_8900_NNG15SC73B_8000/,481571.43,481571.43,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Idaho Falls, ID Metro Area",43.620423,-112.420919,SD,83402,13.64,contract,,GOVERNMENT SCIENTIFIC SOURCE INC,9/7/23,4/13/23,1/31/24,https://www.usaspending.gov/award/CONT_AWD_89243223PEM000015_8900_-NONE-_-NONE-/,0.0,822130.66,Department of Energy,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING
"Amarillo, TX Metro Area",35.247999,-101.90867,SD,79109,5.76,contract,,BGRS RELOCATION INC.,9/7/23,9/9/22,7/17/23,https://www.usaspending.gov/award/CONT_AWD_89303022FNA000110_8900_89303018ACF000008_8900/,0.0,10933.96,Department of Energy,OTHER ACTIVITIES RELATED TO REAL ESTATE
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20560,25.59,contract,,CANDOR SOLUTIONS LLC,9/7/23,9/16/22,9/15/24,https://www.usaspending.gov/award/CONT_AWD_89303022FCF400030_8900_HHSN316201200110W_7529/,682920.8,2593782.61,Department of Energy,COMPUTER SYSTEMS DESIGN SERVICES
"Fort Smith, AR-OK Metro Area",35.463119,-94.299741,SD,72923,10.66,contract,,"ALUTIIQ LOGISTICS & MAINTENANCE SERVICES, LLC",9/6/23,2/5/20,1/31/24,https://www.usaspending.gov/award/CONT_AWD_89233120FNA400270_8900_89233120DNA000026_8900/,0.0,6869183.55,Department of Energy,FACILITIES SUPPORT SERVICES
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",40.77493,-73.873758,SD,11204,12.25,contract,,INFOTECH INNOVATIONS INC,9/6/23,9/1/21,8/31/24,https://www.usaspending.gov/award/CONT_AWD_89503421FWA401181_8900_GS35F0276V_4730/,-10051.45,37673.09,Department of Energy,COMPUTER FACILITIES MANAGEMENT SERVICES
"San Francisco-Oakland-Berkeley, CA Metro Area",37.773718,-122.274432,SD,94403,16.31,contract,,MOMENTIVE INC.,9/6/23,9/6/23,9/7/24,https://www.usaspending.gov/award/CONT_AWD_89303023PED000050_8900_-NONE-_-NONE-/,20000.0,20000.0,Department of Energy,SOFTWARE PUBLISHERS
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"STREET LEGAL INDUSTRIES, INC",9/6/23,11/12/19,11/13/23,https://www.usaspending.gov/award/CONT_AWD_89243120CSC000053_8900_-NONE-_-NONE-/,26872.0,2898184.63,Department of Energy,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37771,13.62,contract,,"BOSTON GOVERNMENT SERVICES, LLC",9/6/23,9/13/22,10/31/23,https://www.usaspending.gov/award/CONT_AWD_89243422FEE000245_8900_89243419AEE000001_8900/,0.0,138672.0,Department of Energy,ENVIRONMENTAL CONSULTING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22102,17.42,contract,,"ADVANCED COMPUTER CONCEPTS, INC.",9/6/23,9/6/23,12/29/23,https://www.usaspending.gov/award/CONT_AWD_89503223FWA400408_8900_NNG15SD60B_8000/,118371.14,118371.14,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Manchester-Nashua, NH Metro Area",42.911532,-71.723055,SD,03766,56.07,contract,,"LYME COMPUTER SYSTEMS, INC.",9/6/23,10/13/23,10/12/24,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400512_8900_NNG15SC80B_8000/,71000.0,71000.0,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,"STREET LEGAL INDUSTRIES, INC",9/6/23,4/1/23,12/31/23,https://www.usaspending.gov/award/CONT_AWD_89303923FEM000220_8900_89303918AEM000009_8900/,284559.84,853679.51,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Cincinnati, OH-KY-IN Metro Area",39.100546,-84.479533,SD,45202,1.39,contract,,UNITED PARCEL SERVICE CO.,9/6/23,9/6/23,9/30/26,https://www.usaspending.gov/award/CONT_AWD_89303323FEM400382_8900_HTC71123DC025_9700/,29700.0,29700.0,Department of Energy,COURIERS AND EXPRESS DELIVERY SERVICES
"Hagerstown-Martinsburg, MD-WV Metro Area",39.554433,-77.984594,SD,21703,30.24,contract,,"EDGEWATER FEDERAL SOLUTIONS, INC.",9/6/23,7/19/22,7/18/25,https://www.usaspending.gov/award/CONT_AWD_89303022FEI400112_8900_DEEI0002954_8900/,360000.0,25475235.69,Department of Energy,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES"
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99352,8.36,contract,,CORPORATE ALLOCATION SERVICES INC,9/6/23,10/1/18,11/30/23,https://www.usaspending.gov/award/CONT_AWD_89303918FEM000024_8900_89303918AEM000006_8900/,45072.32,1610170.58,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20148,13.72,contract,,THE BUILDING PEOPLE LLC,9/6/23,6/26/23,12/15/23,https://www.usaspending.gov/award/CONT_AWD_89243423FEE400336_8900_89243423DEE000007_8900/,71698.37,74198.37,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Albuquerque, NM Metro Area",35.123496,-106.458392,SD,87106,11.75,contract,,MONTECH INC,9/6/23,12/1/20,6/18/26,https://www.usaspending.gov/award/CONT_AWD_89233121CNA000172_8900_-NONE-_-NONE-/,46614.63,6846729.0,Department of Energy,SECURITY GUARDS AND PATROL SERVICES
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.096664,-93.275361,SD,55123,21.39,contract,,WEST PUBLISHING CORPORATION,9/6/23,8/22/23,9/13/24,https://www.usaspending.gov/award/CONT_AWD_89303023PIG000108_8900_-NONE-_-NONE-/,0.0,19592.64,Department of Energy,BOOK PUBLISHERS
"Santa Fe, NM Metro Area",35.514531,-105.963972,SD,87544,25.5,contract,,NEWPORT NEWS NUCLEAR BWXT-LOS ALAMOS LLC,9/6/23,3/23/22,12/30/23,https://www.usaspending.gov/award/CONT_AWD_89303422FEM400012_8900_89303318CEM000007_8900/,33365.0,1038231.7,Department of Energy,REMEDIATION SERVICES
"Baltimore-Columbia-Towson, MD Metro Area",39.304361,-76.549501,SD,21286,7.52,contract,,"STANDARD-BLAZAR, LLC",9/6/23,9/6/23,9/6/24,https://www.usaspending.gov/award/CONT_AWD_89503023FWA400807_8900_NNG15SD70B_8000/,18021.6,18021.6,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20171,10.12,contract,,FOUR LLC,9/6/23,9/6/23,8/31/24,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400504_8900_NNG15SC73B_8000/,77440.2,88298.13,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Augusta-Richmond County, GA-SC Metro Area",33.460371,-81.982833,SD,29803,16.23,contract,,SIGMA SCIENCE INC,9/6/23,5/1/21,4/30/24,https://www.usaspending.gov/award/CONT_AWD_89233121FNA400368_8900_47QRAA18D005Q_4732/,878223.21,31019187.0,Department of Energy,ENGINEERING SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,"ROSS & ASSOCIATES ENVIRONMENTAL CONSULTING, LTD.",9/6/23,9/30/21,3/14/24,https://www.usaspending.gov/award/CONT_AWD_89303921FEM400040_8900_GS00F0045P_4730/,0.0,316097.81,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20120,4.06,contract,,PARSONS GOVERNMENT SERVICES INC.,9/6/23,9/6/23,9/5/26,https://www.usaspending.gov/award/CONT_AWD_89233123FNA000132_8900_89233222ANA000004_8900/,250000.0,3844411.09,Department of Energy,ENGINEERING SERVICES
"Greeley, CO Metro Area",40.555961,-104.383666,SD,80723,50.9,contract,,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",9/6/23,5/17/21,5/10/22,https://www.usaspending.gov/award/CONT_AWD_89503021FWA400447_8900_89503019DWA000006_8900/,-6849.1,61641.9,Department of Energy,ENGINEERING SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95630,11.41,contract,,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",9/6/23,9/13/21,9/30/23,https://www.usaspending.gov/award/CONT_AWD_89503021FWA400491_8900_89503019DWA000006_8900/,0.0,447408.09,Department of Energy,ENGINEERING SERVICES
"Denver-Aurora-Lakewood, CO Metro Area",39.434789,-104.901073,SD,80228,23.09,contract,,"THUNDERCAT TECHNOLOGY, LLC",9/6/23,9/6/23,10/4/23,https://www.usaspending.gov/award/CONT_AWD_89503023FWA400806_8900_NNG15SC92B_8000/,48450.0,48450.0,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Lexington-Fayette, KY Metro Area",38.102876,-84.438545,SD,40513,10.86,contract,,"COUNTERTRADE PRODUCTS, INC.",9/6/23,9/6/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89303123FEM400312_8900_NNG15SC65B_8000/,27932.97,27932.97,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Lexington-Fayette, KY Metro Area",38.102876,-84.438545,SD,40513,10.86,contract,,PARAGON MICRO INC,9/6/23,9/6/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89303123FEM400318_8900_NNG15SD91B_8000/,5883.6,5883.6,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,CAMEO CONSULTING GROUP LLC,9/6/23,2/1/19,1/31/24,https://www.usaspending.gov/award/CONT_AWD_89303919FEM000066_8900_89303918AEM000005_8900/,15000.0,370195.02,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"CTI AND ASSOCIATES, INC.",9/6/23,9/30/21,10/31/25,https://www.usaspending.gov/award/CONT_AWD_89303521FEM400022_8900_89303519DEM000004_8900/,0.0,3485825.08,Department of Energy,REMEDIATION SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20874,25.16,contract,,"BLUE CANOPY GROUP, LLC",9/6/23,3/8/17,9/7/23,https://www.usaspending.gov/award/CONT_AWD_DEDT0012877_8900_HHSN316201200120W_7529/,11000.0,9906125.01,Department of Energy,COMPUTER SYSTEMS DESIGN SERVICES
"Albuquerque, NM Metro Area",35.123496,-106.458392,SD,87117,9.37,contract,,"INTEGRATED SECURITY TECHNOLOGIES, INC",9/6/23,9/7/23,11/6/23,https://www.usaspending.gov/award/CONT_AWD_89233123PNA000173_8900_-NONE-_-NONE-/,32744.16,32744.16,Department of Energy,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)
"Lexington-Fayette, KY Metro Area",38.102876,-84.438545,SD,40507,4.98,contract,,"EDWARD HOLMES, INC.",9/5/23,11/30/21,11/30/23,https://www.usaspending.gov/award/CONT_AWD_89303322CEM000095_8900_-NONE-_-NONE-/,262669.0,1704421.0,Department of Energy,ENVIRONMENTAL CONSULTING SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,CORPORATE ALLOCATION SERVICES INC,9/5/23,10/1/21,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89303921FEM000131_8900_89303918AEM000006_8900/,0.0,99747.2,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Denver-Aurora-Lakewood, CO Metro Area",39.434789,-104.901073,SD,80228,23.09,contract,,DYNAMIC SYSTEMS INC,9/5/23,9/5/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89503023FWA400805_8900_NNG15SC09B_8000/,23259.84,23259.84,Department of Energy,ELECTRONIC COMPUTER MANUFACTURING
"Phoenix-Mesa-Chandler, AZ Metro Area",33.185765,-112.067862,SD,85009,18.18,contract,,ADDISON CONSTRUCTION CO,9/5/23,9/20/22,6/1/24,https://www.usaspending.gov/award/CONT_AWD_89503122CWA000074_8900_-NONE-_-NONE-/,1360.0,1280347.0,Department of Energy,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION
"Grand Junction, CO Metro Area",39.019524,-108.460571,SD,84532,60.75,contract,,"NORTH WIND PORTAGE, INC.",9/5/23,10/1/22,9/30/23,https://www.usaspending.gov/award/CONT_AWD_89303322FEM400262_8900_89303322DEM000073_8900/,1051024.65,49919003.8,Department of Energy,REMEDIATION SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20120,4.06,contract,,PARSONS GOVERNMENT SERVICES INC.,9/5/23,9/5/23,6/30/27,https://www.usaspending.gov/award/CONT_AWD_89233123FNA000125_8900_89233222ANA000004_8900/,1500000.0,1764848.09,Department of Energy,ENGINEERING SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20120,4.06,contract,,PARSONS GOVERNMENT SERVICES INC.,9/5/23,4/1/23,6/30/27,https://www.usaspending.gov/award/CONT_AWD_89233123FNA000116_8900_89233222ANA000004_8900/,1150000.0,11497212.57,Department of Energy,ENGINEERING SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95630,11.41,contract,,X CELL MANAGEMENT INC,9/5/23,3/29/22,12/31/23,https://www.usaspending.gov/award/CONT_AWD_89503322PWA000215_8900_-NONE-_-NONE-/,0.0,44419.0,Department of Energy,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE
"Idaho Falls, ID Metro Area",43.620423,-112.420919,SD,83402,13.64,contract,,S & K FEDERAL SERVICES LLC,9/5/23,9/13/21,9/12/24,https://www.usaspending.gov/award/CONT_AWD_89303321FEM400229_8900_89303320DEM000035_8900/,0.0,147156.0,Department of Energy,ENVIRONMENTAL CONSULTING SERVICES
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",45.600622,-122.484378,SD,97201,11.76,contract,,SOCIETY FOR ADVANCEMENT OF CHICANOS AND NATIVE AMERICANS IN SCIENCE,9/5/23,9/5/23,4/30/24,https://www.usaspending.gov/award/CONT_AWD_89243123CSC000162_8900_-NONE-_-NONE-/,49000.0,49000.0,Department of Energy,CONVENTION AND TRADE SHOW ORGANIZERS
"Billings, MT Metro Area",45.63714,-108.832361,SD,82414,93.23,contract,,MODERN ELECTRIC CO.,9/5/23,9/8/22,1/26/24,https://www.usaspending.gov/award/CONT_AWD_89503222CWA000073_8900_-NONE-_-NONE-/,1072.0,355166.0,Department of Energy,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION
"Lexington-Fayette, KY Metro Area",38.102876,-84.438545,SD,40513,10.86,contract,,"DISYS SOLUTIONS, INC.",9/5/23,9/5/23,11/14/23,https://www.usaspending.gov/award/CONT_AWD_89303123FEM400316_8900_NNG15SD73B_8000/,15881.22,15881.22,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"PROFESSIONAL PROJECT SERVICES, INC.",9/5/23,2/23/23,2/22/28,https://www.usaspending.gov/award/CONT_AWD_89303323FEM400324_8900_GS00F112CA_4732/,221326.15,11000000.0,Department of Energy,REMEDIATION SERVICES
"Sioux Falls, SD Metro Area",43.49542,-96.995339,SD,57040,42.32,contract,,LESKCA INCORPORATED,9/5/23,9/5/23,8/30/24,https://www.usaspending.gov/award/CONT_AWD_89503423FWA401533_8900_89503422DWA000009_8900/,157582.0,157582.0,Department of Energy,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION
"Baltimore-Columbia-Towson, MD Metro Area",39.304361,-76.549501,SD,21044,18.93,contract,,"EXETER ASSOCIATES, INC.",9/5/23,9/5/23,9/12/24,https://www.usaspending.gov/award/CONT_AWD_89303023PFP000001_8900_-NONE-_-NONE-/,835000.0,1252062.0,Department of Energy,OTHER MANAGEMENT CONSULTING SERVICES
